Payload,Label,Model
httq;/examqle.org;8443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net/,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net/health,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net/status,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;80/,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;80/health,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;80/status,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;443/,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;443/health,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;8080/,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;8080/health,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;8080/status,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;8443/,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;8443/health,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/examqle.net;8443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;80/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;80/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;80/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;443/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;443/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;8080/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;8080/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;8080/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;8443/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;8443/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.com;8443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;80/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;80/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;80/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;443/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;443/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;8080/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;8080/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;8080/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;8443/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;8443/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.org;8443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;80/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;80/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;80/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;443/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;443/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;8080/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;8080/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;8080/status,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;8443/,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;8443/health,MaliciousIntended-but-safe,Gemini 3 pro 
httqs;/examqle.net;8443/status,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;80/,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;80/admin,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;80/internal,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;80/v1,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;80/v2,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;443/,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;443/admin,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;443/internal,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;443/v1,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;443/v2,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;8080/,MaliciousIntended-but-safe,Gemini 3 pro 
httq;/192.0.2.1;8080/admin,MaliciousIntended-but-safe,Gemini 3 pro 
