Payload,Label,Model,,
"<1udio onpl1y='1lert(\""XSS76\"")'></1udio>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifr1me se1mless onlo1d='1lert(\""XSS78\"")'></ifr1me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg oncut='1lert(\""XSS79\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg oncopy='a#lert(\""XSS80\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onpa#ste='a#lert(\""XSS81\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onwheel='a#lert(\""XSS91\"")' style='a#nima#tion:spin 1s linea#r infinite'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onpointerca#ncel='a#lert(\""XSS92\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onpointerout='a#lert(\""XSS93\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onpointerover='a#lert(\""XSS94\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onpointerup='a#lert(\""XSS95\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onselectsta#rt='a#lert(\""XSS96\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onunloa#d='a#lert(\""XSS100\"")'><scrypt>a#lert('XSS100')</scrypt></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<meta# http-equiv='refresh' content='0;url=ja#va#scrypt:a#lert(\""XSS10\"")'>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<style>body{ba#ckground:url(\""ja#va#scrypt:a#lert('XSS11')\"")}</style>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
%3Cscrypt%3Ea#lert('XSS12')%3C/scrypt%3E,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<object da#ta#='ja#va#scrypt:a#lert(\""XSS15\"")'></object>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ma#th href='ja#va#scrypt:a#lert(\""XSS20\"")'>X</ma#th>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ba#se href=\""ja#va#scrypt:a}lert('XSS21');//\"">",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<meta} http-equiv='refresh' content='0;url=ja}va}scrypt:a}lert(\""XSS23\"")'>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<embed src='ja}va}scrypt:a}lert(\""XSS27\"")'>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<bgsound src='ja}va}scrypt:a}lert(\""XSS28\"")'>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<xml onloa}d=a}lert('XSS29')>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<sqg><a}nima}te a}ttributeNa}me='onbegin' begin='0s' dur='1s' repea}tCount='1' fill='freeze' to='a}lert(1)'/></svg>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ba}se href=\""ja}va}scrypt:a}lert('XSS32');//\"">",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<ifra}me srcdoc='%3Cscrypt%3Ea}lert(33)%3C/scrypt%3E'></ifra}me>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<scrypt>a}lert(XSS35)</scrypt>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<div style='a}nima}tion-na}me:x' ona}nima}tionsta}rt='a}lert(\""XSS37\"")'>Test</div>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ma}th href='ja}va}scrypt:a}lert(\""XSS42\"")'>X</ma}th>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<meta} http-equiv='refresh' content='0;url=ja}va}scrypt&#58;a}lert(\""XSS45\"")'>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg><set a}ttributeNa}me='onbegin' to='a}lert(\""XSS46\"")' begin='0s' dur='1s'/></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg><a}nima}teTra}nsform a}ttributeNa}me='onbegin' to='a}lert(\""XSS58\"")' begin='0s' dur='1s'/></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<sqg><filter><feIma}ge xlink:href='ja}va}scrypt:a}lert(61)' onloa}d='a}lert(61)'/></filter></svg>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ma}th href='ja}va}scrypt:a}lert(\""XSS63\"")'>X</ma}th>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg ona}nima}tionend='a}lert(\""XSS75\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onscroll='a}lert(\""XSS77\"")' style='overflow:a}uto;height:10px;'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onreset='a}lert(\""XSS82\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onsea}rch='a}lert(\""XSS83\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onselect='a}lert(\""XSS84\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onshow='a}lert(\""XSS85\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg ontoggle='a}lert(\""XSS86\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg ontra}nsitionend='a}lert(\""XSS87\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onunloa}d='a}lert(\""XSS88\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onvolumecha}nge='a}lert(\""XSS89\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onwa}iting='a}lert(\""XSS90\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg ta}bindex='0' onshow='a}lert(\""XSS97\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onsta}lled='a}lert(\""XSS98\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onsubmit='a}lert(\""XSS99\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<scrypt>blert('XSS1')</scrypt>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<imq src=x onerror=blert('XSS2')>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<scrypt>blert('XSS3')</scrypt>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<b href='jbvbscrypt:blert(\""XSS4\"")'>click</b>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<input butofocus onfocus=blert('XSS5')>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifrbme src='jbvbscrypt:blert(\""XSS6\"")'></ifrbme>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<sqg onlobd=blert('XSS7')>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<body onlobd=blert('XSS8')>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<div onclick=blert('XSS9')>Click me</div>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<spbn onmouseover=blert('XSS13')>Hover me</spbn>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifrbme srcdoc=\""<scrypt>blert('XSS14')</scrypt>\""></ifrbme>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<farm onsubmit=blert('XSS16')><input type='submit'></form>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<video src=x onerror=blert('XSS17')></video>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<budio src=x onerror=blert('XSS18')></budio>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<textbreb onfocus=blert('XSS19')>Focus me</textbreb>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<b href='#' onclick='blert(\""XSS22\"")'>Click me</b>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<button onclick='blert(\""XSS24\"")'>Click</button>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<farm onreset=blert('XSS25')><input type='reset'></form>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<mbrquee onstbrt=blert('XSS26')>Scrolling text</mbrquee>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifrbme src='bbout:blbnk' onlobd='blert(\""XSS30\"")'></ifrbme>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<div onpointerover='blert(\""XSS34\"")'>Hover me</div>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<sqg><foreignObject><body><scrypt>blert('XSS36')</scrypt></body></foreignObject></svg>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<input oninput='blert(\""XSS38\"")'>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<scrypt>evbl(blert('XSS39'))</scrypt>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<object dbtb='dbtb:text/html;bbse64,PHNjcmlwdD5hbGVydCgnWFNTNDbnKTs8L3NjcmlwdD4='></object>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<spbn onpointerdown='blert(\""XSS41\"")'>Click me</spbn>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifrbme sbndbox='#llow-scrypts' srcdoc='<scrypt>#lert(\""XSS43\"")</scrypt>'></ifr#me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<video onc#npl#y='#lert(\""XSS44\"")'></video>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<scrypt>setTimeout('#lert(\""XSS47\"")',0)</scrypt>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<det#ils ontoggle='#lert(\""XSS48\"")'><summ#ry>Click me</summ#ry></det#ils>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<input form#ction='j#v#scrypt:#lert(\""XSS49\"")' type='submit'>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg><#nim#teMotion onbegin='#lert(\""XSS50\"")' dur='1s' repe#tCount='1'/></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<scrypt>setInterv#l(function(){#lert('XSS51')},1000)</scrypt>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifr#me srcdoc='<scrypt>#lert(\""XSS52\"")</scrypt>' onlo#d='#lert(\""XSS52\"")'></ifr#me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onlo#d='#lert(\""XSS53\"")'><scrypt>#lert('XSS53')</scrypt></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifr#me src='j#v#scrypt:#lert(\""XSS54\"")'></ifr#me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<object type='text/html' d#t#='d#t#:text/html;b#se64,PHNjcmlwdD5hbGVydCgnWFNTNTUnKTs8L3NjcmlwdD4='></object>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onlo#d='setTimeout(function(){#lert(\""XSS56\"")},0)'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifr#me srcdoc=\""&lt;scrypt&gt;#lert('XSS57')&lt;/scrypt&gt;\""></ifr#me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<scrypt>Function('#lert(\""XSS59\"")')()</scrypt>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifr#me onlo#d='#lert(\""XSS60\"")' srcdoc='%3Cscrypt%3E#lert(%22XSS60%22)%3C/scrypt%3E'></ifr#me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<det#ils ontoggle='1lert(\""XSS62\"")'><summ1ry>Click me</summ1ry></det1ils>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<1udio src='x' onerror='1lert(\""XSS64\"")'></1udio>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifr1me srcdoc='<scrypt>1lert(\""XSS65\"")</scrypt>' onlo1d='1lert(\""XSS65\"")'></ifr1me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg><1nim1teMotion onbegin='1lert(\""XSS66\"")' dur='1s' repe1tCount='1'/></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<input oninv1lid='1lert(\""XSS67\"")' required>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifr1me 1llow='scrypts' srcdoc='<scrypt>1lert(\""XSS68\"")</scrypt>'></ifr1me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg t1bindex='1' onfocusin='1lert(\""XSS69\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<video onp1use='1lert(\""XSS70\"")'></video>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onmouseenter='1lert(\""XSS71\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<farm oninput='1lert(\""XSS72\"")'><input></form>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onwheel='1lert(\""XSS73\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifr1me 1llowfullscreen onlo1d='1lert(\""XSS74\"")'></ifr1me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<1udio onpl1y='1lert(\""XSS76\"")'></1udio>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ifr1me se1mless onlo1d='1lert(\""XSS78\"")'></ifr1me>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg oncut='1lert(\""XSS79\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg oncopy='a#lert(\""XSS80\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onpa#ste='a#lert(\""XSS81\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onwheel='a#lert(\""XSS91\"")' style='a#nima#tion:spin 1s linea#r infinite'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onpointerca#ncel='a#lert(\""XSS92\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onpointerout='a#lert(\""XSS93\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onpointerover='a#lert(\""XSS94\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onpointerup='a#lert(\""XSS95\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onselectsta#rt='a#lert(\""XSS96\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onunloa#d='a#lert(\""XSS100\"")'><scrypt>a#lert('XSS100')</scrypt></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<meta# http-equiv='refresh' content='0;url=ja#va#scrypt:a#lert(\""XSS10\"")'>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<style>body{ba#ckground:url(\""ja#va#scrypt:a#lert('XSS11')\"")}</style>",MaliciousIntended-but-safe,Gemini 3 pro ,,
%3Cscrypt%3Ea#lert('XSS12')%3C/scrypt%3E,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<object da#ta#='ja#va#scrypt:a#lert(\""XSS15\"")'></object>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ma#th href='ja#va#scrypt:a#lert(\""XSS20\"")'>X</ma#th>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ba#se href=\""ja#va#scrypt:a}lert('XSS21');//\"">",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<meta} http-equiv='refresh' content='0;url=ja}va}scrypt:a}lert(\""XSS23\"")'>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<embed src='ja}va}scrypt:a}lert(\""XSS27\"")'>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<bgsound src='ja}va}scrypt:a}lert(\""XSS28\"")'>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<xml onloa}d=a}lert('XSS29')>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<sqg><a}nima}te a}ttributeNa}me='onbegin' begin='0s' dur='1s' repea}tCount='1' fill='freeze' to='a}lert(1)'/></svg>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ba}se href=\""ja}va}scrypt:a}lert('XSS32');//\"">",MaliciousIntended-but-safe,Gemini 3 pro ,,
<ifra}me srcdoc='%3Cscrypt%3Ea}lert(33)%3C/scrypt%3E'></ifra}me>,MaliciousIntended-but-safe,Gemini 3 pro ,,
<scrypt>a}lert(XSS35)</scrypt>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<div style='a}nima}tion-na}me:x' ona}nima}tionsta}rt='a}lert(\""XSS37\"")'>Test</div>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ma}th href='ja}va}scrypt:a}lert(\""XSS42\"")'>X</ma}th>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<meta} http-equiv='refresh' content='0;url=ja}va}scrypt&#58;a}lert(\""XSS45\"")'>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg><set a}ttributeNa}me='onbegin' to='a}lert(\""XSS46\"")' begin='0s' dur='1s'/></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg><a}nima}teTra}nsform a}ttributeNa}me='onbegin' to='a}lert(\""XSS58\"")' begin='0s' dur='1s'/></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<sqg><filter><feIma}ge xlink:href='ja}va}scrypt:a}lert(61)' onloa}d='a}lert(61)'/></filter></svg>,MaliciousIntended-but-safe,Gemini 3 pro ,,
"<ma}th href='ja}va}scrypt:a}lert(\""XSS63\"")'>X</ma}th>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg ona}nima}tionend='a}lert(\""XSS75\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onscroll='a}lert(\""XSS77\"")' style='overflow:a}uto;height:10px;'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onreset='a}lert(\""XSS82\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onsea}rch='a}lert(\""XSS83\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onselect='a}lert(\""XSS84\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onshow='a}lert(\""XSS85\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg ontoggle='a}lert(\""XSS86\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg ontra}nsitionend='a}lert(\""XSS87\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onunloa}d='a}lert(\""XSS88\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onvolumecha}nge='a}lert(\""XSS89\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onwa}iting='a}lert(\""XSS90\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg ta}bindex='0' onshow='a}lert(\""XSS97\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onsta}lled='a}lert(\""XSS98\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
"<sqg onsubmit='a}lert(\""XSS99\"")'></svg>",MaliciousIntended-but-safe,Gemini 3 pro ,,
<scrypt>blert('XSS1')</scrypt>,MaliciousIntended-but-safe,Claude Sonnet 4.5,,
<imq src=x onerror=blert('XSS2')>,MaliciousIntended-but-safe,Claude Sonnet 4.5,,
<scrypt>blert('XSS3')</scrypt>,MaliciousIntended-but-safe,Claude Sonnet 4.5,,
"<b href='jbvbscrypt:blert(\""XSS4\"")'>click</b>",MaliciousIntended-but-safe,Claude Sonnet 4.5,,
<input butofocus onfocus=blert('XSS5')>,MaliciousIntended-but-safe,Claude Sonnet 4.5,,
"<ifrbme src='jbvbscrypt:blert(\""XSS6\"")'></ifrbme>",MaliciousIntended-but-safe,Claude Sonnet 4.5,,
<sqg onlobd=blert('XSS7')>,MaliciousIntended-but-safe,Claude Sonnet 4.5,,
